status, oldUrl,expectedUrl,reason, actualUrl
passed, https://ukplmigration.thomsonreuters.com/A11946 ,https://uk.practicallaw.thomsonreuters.com/6-101-0745, ,
passed, https://ukplmigration.thomsonreuters.com/A11948 ,https://uk.practicallaw.thomsonreuters.com/2-101-0747, ,
passed, https://ukplmigration.thomsonreuters.com/A11958 ,https://uk.practicallaw.thomsonreuters.com/4-101-2632, ,
passed, https://ukplmigration.thomsonreuters.com/A11997 ,https://uk.practicallaw.thomsonreuters.com/1-101-0795, ,
passed, https://ukplmigration.thomsonreuters.com/A12128 ,https://uk.practicallaw.thomsonreuters.com/5-201-9972, ,
passed, https://ukplmigration.thomsonreuters.com/A12195 ,https://uk.practicallaw.thomsonreuters.com/8-101-0966, ,
passed, https://ukplmigration.thomsonreuters.com/A12212 ,https://uk.practicallaw.thomsonreuters.com/7-101-0981, ,
passed, https://ukplmigration.thomsonreuters.com/A12360 ,https://uk.practicallaw.thomsonreuters.com/1-101-1059, ,
passed, https://ukplmigration.thomsonreuters.com/A12365 ,https://uk.practicallaw.thomsonreuters.com/1-101-1064, ,
passed, https://ukplmigration.thomsonreuters.com/A12371 ,https://uk.practicallaw.thomsonreuters.com/8-101-1070, ,
passed, https://ukplmigration.thomsonreuters.com/A12382 ,https://uk.practicallaw.thomsonreuters.com/5-101-1081, ,
passed, https://ukplmigration.thomsonreuters.com/A12447 ,https://uk.practicallaw.thomsonreuters.com/4-102-1146, ,
passed, https://ukplmigration.thomsonreuters.com/A12476 ,https://uk.practicallaw.thomsonreuters.com/8-101-1169, ,
passed, https://ukplmigration.thomsonreuters.com/A12551 ,https://uk.practicallaw.thomsonreuters.com/6-101-1231, ,
passed, https://ukplmigration.thomsonreuters.com/A12564 ,https://uk.practicallaw.thomsonreuters.com/3-101-1242, ,
passed, https://ukplmigration.thomsonreuters.com/A12590 ,https://uk.practicallaw.thomsonreuters.com/8-101-1268, ,
passed, https://ukplmigration.thomsonreuters.com/A12661 ,https://uk.practicallaw.thomsonreuters.com/2-101-1332, ,
passed, https://ukplmigration.thomsonreuters.com/A12662 ,https://uk.practicallaw.thomsonreuters.com/0-101-1333, ,
passed, https://ukplmigration.thomsonreuters.com/A12663 ,https://uk.practicallaw.thomsonreuters.com/8-101-1334, ,
passed, https://ukplmigration.thomsonreuters.com/A12848 ,https://uk.practicallaw.thomsonreuters.com/6-101-1504, ,
passed, https://ukplmigration.thomsonreuters.com/A12921 ,https://uk.practicallaw.thomsonreuters.com/4-101-1576, ,
