status, oldUrl, newUrl,failure, actual
passed,the user opens /A1007 on the old website,the user verifies resulting resource /8-100-0972,null,
passed,the user opens /A10084 on the old website,the user verifies resulting resource /5-100-9342,null,
passed,the user opens /A10262 on the old website,the user verifies resulting resource /4-100-9470,null,
passed,the user opens /A10280 on the old website,the user verifies resulting resource /6-100-9488,null,
passed,the user opens /A10335 on the old website,the user verifies resulting resource /0-100-9542,null,
passed,the user opens /A10403 on the old website,the user verifies resulting resource /0-107-3646,null,
passed,the user opens /A10404 on the old website,the user verifies resulting resource /1-100-9607,null,
passed,the user opens /A10405 on the old website,the user verifies resulting resource /9-100-9608,null,
passed,the user opens /A10407 on the old website,the user verifies resulting resource /8-107-3647,null,
passed,the user opens /A10408 on the old website,the user verifies resulting resource /5-100-9610,null,
passed,the user opens /A10409 on the old website,the user verifies resulting resource /3-100-9611,null,
passed,the user opens /A10410 on the old website,the user verifies resulting resource /6-107-3648,null,
passed,the user opens /A10411 on the old website,the user verifies resulting resource /1-100-9612,null,
passed,the user opens /A10412 on the old website,the user verifies resulting resource /9-100-9613,null,
passed,the user opens /A10413 on the old website,the user verifies resulting resource /2-107-3749,null,
passed,the user opens /A10414 on the old website,the user verifies resulting resource /7-100-9614,null,
passed,the user opens /A10415 on the old website,the user verifies resulting resource /4-100-9615,null,
passed,the user opens /A10416 on the old website,the user verifies resulting resource /2-100-9616,null,
passed,the user opens /A10418 on the old website,the user verifies resulting resource /8-100-9618,null,
passed,the user opens /A10419 on the old website,the user verifies resulting resource /6-100-9619,null,
passed,the user opens /A10421 on the old website,the user verifies resulting resource /4-107-3649,null,
passed,the user opens /A10426 on the old website,the user verifies resulting resource /1-107-3740,null,
passed,the user opens /A10428 on the old website,the user verifies resulting resource /2-100-9621,null,
passed,the user opens /A10429 on the old website,the user verifies resulting resource /0-100-9622,null,
passed,the user opens /A10430 on the old website,the user verifies resulting resource /8-100-9623,null,
failed,the user opens /A10431 on the old website,the user verifies resulting resource /1-107-3655,java.lang.AssertionError: Error except of document,
passed,the user opens /A10432 on the old website,the user verifies resulting resource /9-107-3656,null,
passed,the user opens /A10436 on the old website,the user verifies resulting resource /7-107-3657,null,
passed,the user opens /A10439 on the old website,the user verifies resulting resource /5-107-3658,null,
passed,the user opens /A10466 on the old website,the user verifies resulting resource /1-107-3660,null,
failed,the user opens /A10473 on the old website,the user verifies resulting resource /0-107-3665,java.lang.AssertionError: Document is unavailable,
passed,the user opens /A10475 on the old website,the user verifies resulting resource /6-107-3667,null,
