status, oldUrl, newUrl,failure, actual
passed,the user opens /A36052 on the old website,the user verifies resulting resource /5-107-6586,null,
passed,the user opens /A36053 on the old website,the user verifies resulting resource /3-107-6587,null,
passed,the user opens /A36054 on the old website,the user verifies resulting resource /1-107-6588,null,
passed,the user opens /A36056 on the old website,the user verifies resulting resource /7-107-6590,null,
passed,the user opens /A36059 on the old website,the user verifies resulting resource /1-107-6593,null,
passed,the user opens /A36066 on the old website,the user verifies resulting resource /5-107-1980,null,
passed,the user opens /A36067 on the old website,the user verifies resulting resource /4-107-6600,null,
passed,the user opens /A36068 on the old website,the user verifies resulting resource /2-107-6601,null,
passed,the user opens /A36076 on the old website,the user verifies resulting resource /9-107-5735,null,
passed,the user opens /A36077 on the old website,the user verifies resulting resource /7-107-5736,null,
passed,the user opens /A36080 on the old website,the user verifies resulting resource /1-107-5739,null,
passed,the user opens /A36081 on the old website,the user verifies resulting resource /1-107-5800,null,
passed,the user opens /A36082 on the old website,the user verifies resulting resource /9-107-5801,null,
passed,the user opens /A36083 on the old website,the user verifies resulting resource /9-107-5740,null,
passed,the user opens /A36084 on the old website,the user verifies resulting resource /7-107-5741,null,
passed,the user opens /A36086 on the old website,the user verifies resulting resource /3-107-5743,null,
passed,the user opens /A36087 on the old website,the user verifies resulting resource /1-107-5744,null,
passed,the user opens /A36091 on the old website,the user verifies resulting resource /1-107-1982,null,
passed,the user opens /A36092 on the old website,the user verifies resulting resource /2-107-5748,null,
failed,the user opens /A36094 on the old website,the user verifies resulting resource /8-107-5750,java.lang.AssertionError: Document is unavailable,
passed,the user opens /A36095 on the old website,the user verifies resulting resource /6-107-5751,null,
passed,the user opens /A36101 on the old website,the user verifies resulting resource /3-107-5757,null,
passed,the user opens /A36102 on the old website,the user verifies resulting resource /1-107-5758,null,
passed,the user opens /A36104 on the old website,the user verifies resulting resource /7-107-5760,null,
passed,the user opens /A36105 on the old website,the user verifies resulting resource /5-107-5761,null,
passed,the user opens /A36106 on the old website,the user verifies resulting resource /3-107-5762,null,
passed,the user opens /A36108 on the old website,the user verifies resulting resource /9-107-5764,null,
passed,the user opens /A36111 on the old website,the user verifies resulting resource /2-107-5767,null,
passed,the user opens /A36112 on the old website,the user verifies resulting resource /0-107-5768,null,
passed,the user opens /A36113 on the old website,the user verifies resulting resource /9-107-1983,null,
passed,the user opens /A36120 on the old website,the user verifies resulting resource /8-107-5769,null,
passed,the user opens /A36124 on the old website,the user verifies resulting resource /0-107-5773,null,
